socialMedia,url,rate,status
TIKTOK/Page Follow,https://socialearning.org/earner/update/tasks/view/35?next=/earner/available/tasks%3Fpage%3D1%26filter_social_media%3D,31238 / 100000,Available
TIKTOK/Video Likes,https://socialearning.org/earner/update/tasks/view/82?next=/earner/available/tasks%3Fpage%3D1%26filter_social_media%3D,28963 / 100000,Available
TIKTOK/Video Comment,https://socialearning.org/earner/update/tasks/view/83?next=/earner/available/tasks%3Fpage%3D1%26filter_social_media%3D,29641 / 100000,Available
TIKTOK/Video Likes,https://socialearning.org/earner/update/tasks/view/85?next=/earner/available/tasks%3Fpage%3D1%26filter_social_media%3D,26347 / 100000,Available
TIKTOK/Video Comment,https://socialearning.org/earner/update/tasks/view/87?next=/earner/available/tasks%3Fpage%3D1%26filter_social_media%3D,28055 / 100000,Available
TELEGRAM/Channel,https://socialearning.org/earner/update/tasks/view/101?next=/earner/available/tasks%3Fpage%3D1%26filter_social_media%3D,23133 / 100000,Available
YOUTUBE/Channel Subscribe---Video like---Video Comment,https://socialearning.org/earner/update/tasks/view/303988?next=/earner/available/tasks%3Fpage%3D14%26filter_social_media%3D,790 / 980,Available
TIKTOK/Video Likes,https://socialearning.org/earner/update/tasks/view/216?next=/earner/available/tasks%3Fpage%3D1%26filter_social_media%3D,24757 / 100000,Available
INSTAGRAM/Share to Story,https://socialearning.org/earner/update/tasks/view/294?next=/earner/available/tasks%3Fpage%3D1%26filter_social_media%3D,9784 / 19500,Available
INSTAGRAM/Post View,https://socialearning.org/earner/update/tasks/view/286406?next=/earner/available/tasks%3Fpage%3D8%26filter_social_media%3D,3403 / 5000,Available
INSTAGRAM/Post Like,https://socialearning.org/earner/update/tasks/view/303476?next=/earner/available/tasks%3Fpage%3D14%26filter_social_media%3D,1727 / 1850,Available
INSTAGRAM/Post Comment,https://socialearning.org/earner/update/tasks/view/303474?next=/earner/available/tasks%3Fpage%3D14%26filter_social_media%3D,1582 / 1600,Available
TIKTOK/Add to favorites,https://socialearning.org/earner/update/tasks/view/334?next=/earner/available/tasks%3Fpage%3D1%26filter_social_media%3D,20309 / 100000,Available
TIKTOK/Add to favorites,https://socialearning.org/earner/update/tasks/view/335?next=/earner/available/tasks%3Fpage%3D1%26filter_social_media%3D,19750 / 100000,Available
TIKTOK/Video Comment,https://socialearning.org/earner/update/tasks/view/2896?next=/earner/available/tasks%3Fpage%3D1%26filter_social_media%3D,25473 / 100000,Available
THREADS/Page Follow,https://socialearning.org/earner/update/tasks/view/3516?next=/earner/available/tasks%3Fpage%3D1%26filter_social_media%3D,6059 / 100000,Available
TIKTOK/Page Follow,https://socialearning.org/earner/update/tasks/view/3621?next=/earner/available/tasks%3Fpage%3D1%26filter_social_media%3D,24851 / 100000,Available
WEBSITE/Sign up Only,https://socialearning.org/earner/update/tasks/view/32693?next=/earner/available/tasks%3Fpage%3D1%26filter_social_media%3D,7114 / 7135,Available
WEBSITE/Google Business 5 Star Review,https://socialearning.org/earner/update/tasks/view/32848?next=/earner/available/tasks%3Fpage%3D1%26filter_social_media%3D,6643 / 100000,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/63259?next=/earner/available/tasks%3Fpage%3D1%26filter_social_media%3D,7720 / 7723,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/74410?next=/earner/available/tasks%3Fpage%3D1%26filter_social_media%3D,13520 / 15500,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/75898?next=/earner/available/tasks%3Fpage%3D2%26filter_social_media%3D,5200 / 5500,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/147616?next=/earner/available/tasks%3Fpage%3D2%26filter_social_media%3D,3468 / 3500,Available
APPLEMUSIC/Music Like,https://socialearning.org/earner/update/tasks/view/150566?next=/earner/available/tasks%3Fpage%3D2%26filter_social_media%3D,375 / 600,Available
FACEBOOK/Page Follow,https://socialearning.org/earner/update/tasks/view/162739?next=/earner/available/tasks%3Fpage%3D2%26filter_social_media%3D,7257 / 7295,Available
FACEBOOK/Page Follow,https://socialearning.org/earner/update/tasks/view/164217?next=/earner/available/tasks%3Fpage%3D2%26filter_social_media%3D,6303 / 6346,Available
PLAYSTORE/App Download,https://socialearning.org/earner/update/tasks/view/186681?next=/earner/available/tasks%3Fpage%3D2%26filter_social_media%3D,2734 / 2741,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/188074?next=/earner/available/tasks%3Fpage%3D2%26filter_social_media%3D,4898 / 5500,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/197192?next=/earner/available/tasks%3Fpage%3D2%26filter_social_media%3D,10147 / 10500,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/203753?next=/earner/available/tasks%3Fpage%3D2%26filter_social_media%3D,5623 / 5687,Available
APPSTORE/App Review,https://socialearning.org/earner/update/tasks/view/207653?next=/earner/available/tasks%3Fpage%3D2%26filter_social_media%3D,34 / 65,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/214658?next=/earner/available/tasks%3Fpage%3D2%26filter_social_media%3D,4106 / 4265,Available
PLAYSTORE/App Download,https://socialearning.org/earner/update/tasks/view/214781?next=/earner/available/tasks%3Fpage%3D2%26filter_social_media%3D,2921 / 2940,Available
FACEBOOK/Page Follow,https://socialearning.org/earner/update/tasks/view/216194?next=/earner/available/tasks%3Fpage%3D2%26filter_social_media%3D,8818 / 12340,Available
TIKTOK/Page Follow,https://socialearning.org/earner/update/tasks/view/217240?next=/earner/available/tasks%3Fpage%3D2%26filter_social_media%3D,3423 / 4770,Available
WEBSITE/Sign up Only,https://socialearning.org/earner/update/tasks/view/217935?next=/earner/available/tasks%3Fpage%3D2%26filter_social_media%3D,630 / 638,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/225224?next=/earner/available/tasks%3Fpage%3D2%26filter_social_media%3D,4577 / 4700,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/226780?next=/earner/available/tasks%3Fpage%3D2%26filter_social_media%3D,6672 / 6800,Available
THREADS/Page Follow,https://socialearning.org/earner/update/tasks/view/231158?next=/earner/available/tasks%3Fpage%3D2%26filter_social_media%3D,2054 / 2100,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/232337?next=/earner/available/tasks%3Fpage%3D3%26filter_social_media%3D,3833 / 3850,Available
WEBSITE/Sign up Only,https://socialearning.org/earner/update/tasks/view/233140?next=/earner/available/tasks%3Fpage%3D3%26filter_social_media%3D,290 / 300,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/238006?next=/earner/available/tasks%3Fpage%3D3%26filter_social_media%3D,5970 / 6600,Available
X/Page Follow,https://socialearning.org/earner/update/tasks/view/238404?next=/earner/available/tasks%3Fpage%3D3%26filter_social_media%3D,5951 / 6300,Available
WEBSITE/Sign up Only,https://socialearning.org/earner/update/tasks/view/239129?next=/earner/available/tasks%3Fpage%3D3%26filter_social_media%3D,1324 / 1682,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/239426?next=/earner/available/tasks%3Fpage%3D3%26filter_social_media%3D,8566 / 10000,Available
YOUTUBEMUSIC/Music Like,https://socialearning.org/earner/update/tasks/view/239832?next=/earner/available/tasks%3Fpage%3D3%26filter_social_media%3D,1156 / 1875,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/241252?next=/earner/available/tasks%3Fpage%3D3%26filter_social_media%3D,8530 / 12000,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/244786?next=/earner/available/tasks%3Fpage%3D3%26filter_social_media%3D,8213 / 10000,Available
WHATSAPP/Group,https://socialearning.org/earner/update/tasks/view/244900?next=/earner/available/tasks%3Fpage%3D3%26filter_social_media%3D,1703 / 1752,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/245116?next=/earner/available/tasks%3Fpage%3D3%26filter_social_media%3D,6199 / 6200,Available
YOUTUBE/Video Views,https://socialearning.org/earner/update/tasks/view/247011?next=/earner/available/tasks%3Fpage%3D3%26filter_social_media%3D,4879 / 5000,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/247659?next=/earner/available/tasks%3Fpage%3D3%26filter_social_media%3D,7965 / 8800,Available
X/Tweet Like,https://socialearning.org/earner/update/tasks/view/248307?next=/earner/available/tasks%3Fpage%3D3%26filter_social_media%3D,5839 / 500000,Available
X/Tweet Comment,https://socialearning.org/earner/update/tasks/view/248308?next=/earner/available/tasks%3Fpage%3D3%26filter_social_media%3D,5474 / 500000,Available
X/Tweet Repost,https://socialearning.org/earner/update/tasks/view/248310?next=/earner/available/tasks%3Fpage%3D3%26filter_social_media%3D,5363 / 500000,Available
X/Tweet Views,https://socialearning.org/earner/update/tasks/view/304521?next=/earner/available/tasks%3Fpage%3D14%26filter_social_media%3D,772 / 1000,Available
TIKTOK/Video Likes,https://socialearning.org/earner/update/tasks/view/248311?next=/earner/available/tasks%3Fpage%3D3%26filter_social_media%3D,5729 / 50000,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/249127?next=/earner/available/tasks%3Fpage%3D3%26filter_social_media%3D,7694 / 7700,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/249839?next=/earner/available/tasks%3Fpage%3D3%26filter_social_media%3D,7697 / 10100,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/250007?next=/earner/available/tasks%3Fpage%3D4%26filter_social_media%3D,7786 / 10000,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/250659?next=/earner/available/tasks%3Fpage%3D4%26filter_social_media%3D,7505 / 12000,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/250862?next=/earner/available/tasks%3Fpage%3D4%26filter_social_media%3D,6124 / 6600,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/252205?next=/earner/available/tasks%3Fpage%3D4%26filter_social_media%3D,7320 / 10000,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/252225?next=/earner/available/tasks%3Fpage%3D4%26filter_social_media%3D,7538 / 7700,Available
FACEBOOK/Page Like,https://socialearning.org/earner/update/tasks/view/252445?next=/earner/available/tasks%3Fpage%3D4%26filter_social_media%3D,6421 / 6900,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/253655?next=/earner/available/tasks%3Fpage%3D4%26filter_social_media%3D,7218 / 8800,Available
WEBSITE/Sign up Only,https://socialearning.org/earner/update/tasks/view/255462?next=/earner/available/tasks%3Fpage%3D4%26filter_social_media%3D,764 / 774,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/256298?next=/earner/available/tasks%3Fpage%3D4%26filter_social_media%3D,7196 / 7700,Available
WEBSITE/Sign up Only,https://socialearning.org/earner/update/tasks/view/256816?next=/earner/available/tasks%3Fpage%3D4%26filter_social_media%3D,1075 / 1087,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/256918?next=/earner/available/tasks%3Fpage%3D4%26filter_social_media%3D,6659 / 7000,Available
X/Page Follow,https://socialearning.org/earner/update/tasks/view/257007?next=/earner/available/tasks%3Fpage%3D4%26filter_social_media%3D,1957 / 2250,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/257242?next=/earner/available/tasks%3Fpage%3D4%26filter_social_media%3D,6019 / 6880,Available
TIKTOK/Add to favorites,https://socialearning.org/earner/update/tasks/view/258242?next=/earner/available/tasks%3Fpage%3D4%26filter_social_media%3D,2898 / 5000,Available
FACEBOOK/Post Share,https://socialearning.org/earner/update/tasks/view/258246?next=/earner/available/tasks%3Fpage%3D4%26filter_social_media%3D,3747 / 50000,Available
TIKTOK/Add to favorites,https://socialearning.org/earner/update/tasks/view/258248?next=/earner/available/tasks%3Fpage%3D4%26filter_social_media%3D,2663 / 5000,Available
X/Page Follow,https://socialearning.org/earner/update/tasks/view/258638?next=/earner/available/tasks%3Fpage%3D4%26filter_social_media%3D,5179 / 6000,Available
WEBSITE/Sign up Only,https://socialearning.org/earner/update/tasks/view/258804?next=/earner/available/tasks%3Fpage%3D4%26filter_social_media%3D,569 / 650,Available
LINKEDIN/Page Follow,https://socialearning.org/earner/update/tasks/view/259358?next=/earner/available/tasks%3Fpage%3D4%26filter_social_media%3D,1230 / 1700,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/259800?next=/earner/available/tasks%3Fpage%3D4%26filter_social_media%3D,5441 / 5500,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/260459?next=/earner/available/tasks%3Fpage%3D5%26filter_social_media%3D,6805 / 7700,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/260714?next=/earner/available/tasks%3Fpage%3D5%26filter_social_media%3D,1095 / 1130,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/260795?next=/earner/available/tasks%3Fpage%3D5%26filter_social_media%3D,3548 / 3850,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/261377?next=/earner/available/tasks%3Fpage%3D5%26filter_social_media%3D,4864 / 5500,Available
TIKTOK/Page Follow,https://socialearning.org/earner/update/tasks/view/261856?next=/earner/available/tasks%3Fpage%3D5%26filter_social_media%3D,4492 / 4712,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/263490?next=/earner/available/tasks%3Fpage%3D5%26filter_social_media%3D,4380 / 4833,Available
LINKEDIN/Page Follow,https://socialearning.org/earner/update/tasks/view/264020?next=/earner/available/tasks%3Fpage%3D5%26filter_social_media%3D,780 / 1000,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/264927?next=/earner/available/tasks%3Fpage%3D5%26filter_social_media%3D,6413 / 10000,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/264974?next=/earner/available/tasks%3Fpage%3D5%26filter_social_media%3D,6042 / 10000,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/265184?next=/earner/available/tasks%3Fpage%3D5%26filter_social_media%3D,4151 / 4251,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/267294?next=/earner/available/tasks%3Fpage%3D5%26filter_social_media%3D,4344 / 6212,Available
WEBSITE/Traffic,https://socialearning.org/earner/update/tasks/view/267809?next=/earner/available/tasks%3Fpage%3D5%26filter_social_media%3D,1506 / 1550,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/267814?next=/earner/available/tasks%3Fpage%3D5%26filter_social_media%3D,4768 / 6900,Available
YOUTUBE/Video Views,https://socialearning.org/earner/update/tasks/view/268108?next=/earner/available/tasks%3Fpage%3D5%26filter_social_media%3D,3392 / 5000,Available
WEBSITE/Sign up Only,https://socialearning.org/earner/update/tasks/view/268508?next=/earner/available/tasks%3Fpage%3D5%26filter_social_media%3D,619 / 662,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/270145?next=/earner/available/tasks%3Fpage%3D5%26filter_social_media%3D,4660 / 5500,Available
WEBSITE/Sign up Only,https://socialearning.org/earner/update/tasks/view/272178?next=/earner/available/tasks%3Fpage%3D5%26filter_social_media%3D,898 / 1000,Available
LINKEDIN/Page Follow,https://socialearning.org/earner/update/tasks/view/272587?next=/earner/available/tasks%3Fpage%3D5%26filter_social_media%3D,954 / 1000,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/273493?next=/earner/available/tasks%3Fpage%3D5%26filter_social_media%3D,3348 / 3400,Available
FACEBOOK/Page Follow,https://socialearning.org/earner/update/tasks/view/274309?next=/earner/available/tasks%3Fpage%3D5%26filter_social_media%3D,4623 / 5000,Available
WEBSITE/Sign up Only,https://socialearning.org/earner/update/tasks/view/275717?next=/earner/available/tasks%3Fpage%3D6%26filter_social_media%3D,721 / 1015,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/276111?next=/earner/available/tasks%3Fpage%3D6%26filter_social_media%3D,4892 / 5000,Available
FACEBOOK/Page Follow,https://socialearning.org/earner/update/tasks/view/276176?next=/earner/available/tasks%3Fpage%3D6%26filter_social_media%3D,570 / 580,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/276178?next=/earner/available/tasks%3Fpage%3D6%26filter_social_media%3D,5371 / 10000,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/276679?next=/earner/available/tasks%3Fpage%3D6%26filter_social_media%3D,4555 / 4600,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/276775?next=/earner/available/tasks%3Fpage%3D6%26filter_social_media%3D,5026 / 6001,Available
