socialMedia,url,rate,status
TIKTOK/Page Follow,https://socialearning.org/earner/update/tasks/view/35?next=/earner/available/tasks%3Fpage%3D1%26filter_social_media%3D,32174 / 100000,Available
TIKTOK/Video Likes,https://socialearning.org/earner/update/tasks/view/82?next=/earner/available/tasks%3Fpage%3D1%26filter_social_media%3D,29895 / 100000,Available
TIKTOK/Video Comments,https://socialearning.org/earner/update/tasks/view/83?next=/earner/available/tasks%3Fpage%3D1%26filter_social_media%3D,30505 / 100000,Available
TIKTOK/Video Likes,https://socialearning.org/earner/update/tasks/view/85?next=/earner/available/tasks%3Fpage%3D1%26filter_social_media%3D,27213 / 100000,Available
TIKTOK/Video Comments,https://socialearning.org/earner/update/tasks/view/87?next=/earner/available/tasks%3Fpage%3D1%26filter_social_media%3D,28853 / 100000,Available
TELEGRAM/Channel,https://socialearning.org/earner/update/tasks/view/101?next=/earner/available/tasks%3Fpage%3D1%26filter_social_media%3D,23784 / 100000,Available
TIKTOK/Video Likes,https://socialearning.org/earner/update/tasks/view/216?next=/earner/available/tasks%3Fpage%3D1%26filter_social_media%3D,25560 / 100000,Available
INSTAGRAM/Share to Story,https://socialearning.org/earner/update/tasks/view/293?next=/earner/available/tasks%3Fpage%3D1%26filter_social_media%3D,11161 / 20500,Available
INSTAGRAM/Share to Story,https://socialearning.org/earner/update/tasks/view/294?next=/earner/available/tasks%3Fpage%3D1%26filter_social_media%3D,10349 / 19500,Available
TIKTOK/Add to favorites,https://socialearning.org/earner/update/tasks/view/334?next=/earner/available/tasks%3Fpage%3D1%26filter_social_media%3D,20995 / 100000,Available
TIKTOK/Add to favorites,https://socialearning.org/earner/update/tasks/view/335?next=/earner/available/tasks%3Fpage%3D1%26filter_social_media%3D,20386 / 100000,Available
TIKTOK/Video Comments,https://socialearning.org/earner/update/tasks/view/2896?next=/earner/available/tasks%3Fpage%3D1%26filter_social_media%3D,26208 / 100000,Available
TIKTOK/Page Follow,https://socialearning.org/earner/update/tasks/view/3621?next=/earner/available/tasks%3Fpage%3D1%26filter_social_media%3D,25582 / 100000,Available
WEBSITE/Google 5 Star Business Review,https://socialearning.org/earner/update/tasks/view/32848?next=/earner/available/tasks%3Fpage%3D1%26filter_social_media%3D,6870 / 100000,Available
APPLEMUSIC/Music Like,https://socialearning.org/earner/update/tasks/view/150566?next=/earner/available/tasks%3Fpage%3D1%26filter_social_media%3D,402 / 600,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/159630?next=/earner/available/tasks%3Fpage%3D1%26filter_social_media%3D,3514 / 4050,Available
INSTAGRAM/Page Follow,https://socialearning.org/earner/update/tasks/view/179127?next=/earner/available/tasks%3Fpage%3D1%26filter_social_media%3D,1800 / 2270,Available
APPSTORE/App Review,https://socialearning.org/earner/update/tasks/view/207653?next=/earner/available/tasks%3Fpage%3D1%26filter_social_media%3D,55 / 65,Available
WEBSITE/Sign up Only,https://socialearning.org/earner/update/tasks/view/239129?next=/earner/available/tasks%3Fpage%3D1%26filter_social_media%3D,1611 / 1682,Available
YOUTUBEMUSIC/Music Like,https://socialearning.org/earner/update/tasks/view/239832?next=/earner/available/tasks%3Fpage%3D1%26filter_social_media%3D,1320 / 1875,Available
